(1807, 3351)
(3351, 140)
(140, 1982)
(1982, 1103)
(1103, 4585)
(4585, 837)
(837, 3645)
(3645, 1801)
(1801, 5163)
(5163, 3218)
(3218, 3799)
(3799, 5080)
(5080, 3468)
(3468, 5760)
(5760, 1213)
(1213, 4339)
(4339, 4604)
(4604, 2925)
(2925, 4404)
(4404, 2596)
(2596, 931)
(931, 2447)
(2447, 320)
(320, 2436)
(2436, 1997)
(1997, 5299)
(5299, 5271)
(5271, 1365)
(1365, 3013)
(3013, 5023)
(5023, 161)
(161, 2338)
(2338, 3888)
(3888, 3067)
(3067, 4561)
(4561, 2018)
(2018, 2805)
(2805, 1217)
(1217, 5085)
(5085, 2647)
(2647, 478)
(478, 2523)
(2523, 4405)
(4405, 602)
(602, 2903)
(2903, 3718)
(3718, 3492)
(3492, 5169)
(5169, 5733)
(5733, 1792)
(1792, 1538)
(1538, 351)
(351, 3708)
(3708, 4170)
(4170, 2441)
(2441, 4514)
(4514, 1408)
(1408, 5740)
(5740, 5002)
(4298, 3144)
(3144, 5686)
(5686, 4080)
(4080, 3739)
(3739, 4314)
(4314, 1296)
(1296, 1052)
(1052, 2010)
(2010, 2818)
(2818, 4626)
(4626, 3258)
(3258, 5784)
(5784, 2442)
(2442, 3028)
(3028, 2484)
(2484, 4694)
(4694, 3629)
(3629, 1819)
(1819, 3362)
(3362, 5274)
(5274, 1783)
(1783, 1161)
(1161, 4288)
(4288, 5568)
(5568, 247)
(247, 2804)
(2804, 210)
(210, 89)
(89, 5605)
(5605, 5170)
(5170, 2329)
(2329, 2122)
(2122, 1642)
(1642, 5626)
(5626, 4335)
(4335, 4528)
(4528, 1078)
(1078, 5623)
(5623, 2003)
(2003, 2061)
(2061, 956)
(956, 3005)
(3005, 4445)
(4445, 2482)
(2482, 1070)
(1070, 4346)
(4346, 4330)
(4330, 764)
(764, 3080)
(3080, 2513)
(2513, 5672)
(5672, 2279)
(2279, 1248)
(1248, 3253)
(3253, 5435)
(5435, 5091)
(5091, 517)
(517, 5465)
(5465, 825)
(825, 898)
(898, 5508)
(5508, 78)
(78, 3566)
(3566, 1448)
(1448, 1606)
(1606, 2592)
(2592, 5499)
(5499, 4944)
(4944, 3544)
(3544, 2034)
(2034, 4432)
(4432, 4859)
(4859, 4964)
(4964, 5506)
(5506, 1875)
(1875, 3348)
(3348, 5289)
(5289, 1047)
(1047, 4876)
(4876, 1009)
(1009, 1837)
(1837, 2312)
(2312, 5705)
(5705, 3659)
(3659, 1898)
(1898, 1483)
(1483, 4403)
(4403, 5282)
(5282, 731)
(731, 740)
(740, 1631)
(1631, 806)
(806, 5254)
(5254, 1025)
(1025, 953)
(953, 838)
(838, 5065)
(5065, 4848)
(4848, 607)
(607, 260)
(207, 2565)
(2565, 808)
(808, 2275)
(2275, 889)
